owner;repo;yaml_filename;job;all_unused;maven_unused;fix_suggestion;old_commands
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, db, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, shadow, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, mask, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, encrypt_and_readwrite_splitting, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
flowable;flowable-engine;mysql.yml;test_mysql (8);67;67;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,mysql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:mysql://localhost:${{ job.services.mysql.ports[3306] }}/flowable?characterEncoding=UTF-8 -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=com.mysql.cj.jdbc.Driver -Dspring.datasource.url=jdbc:mysql://localhost:${{ job.services.mysql.ports[3306] }}/flowable?characterEncoding=UTF-8 -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=false -DskipTests ;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,mysql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:mysql://localhost:${{ job.services.mysql.ports[3306] }}/flowable?characterEncoding=UTF-8 -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=com.mysql.cj.jdbc.Driver -Dspring.datasource.url=jdbc:mysql://localhost:${{ job.services.mysql.ports[3306] }}/flowable?characterEncoding=UTF-8 -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
apache;incubator-seata;test-ubuntu.yml;test (21, ubuntu, 2.3.12.RELEASE -D spring-framework.version=5.2.15.RELEASE);6;6;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, sharding_and_encrypt, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, mask_sharding, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
TheAlgorithms;Java;infer.yml;run_infer;6;1;mvn cleaninfer --fail-on-issue  --print-logs --no-progress-bar -- mvn test -Dmaven.test.failure.ignore=true;"mvn clean
infer --fail-on-issue  --print-logs --no-progress-bar -- mvn test"
apache;zeppelin;core.yml;spark-integration-test (11);180;180;./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}./mvnw clean package -pl zeppelin-plugins -amd -DskipTests -Dmaven.test.skip=true ${MAVEN_ARGS};"./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}
./mvnw clean package -pl zeppelin-plugins -amd -DskipTests ${MAVEN_ARGS}"
linlinjava;litemall;main.yml;Litemall-all (8.0.192);0;0;./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}./mvnw clean package -pl zeppelin-plugins -amd -DskipTests -Dmaven.test.skip=true ${MAVEN_ARGS};"./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}
./mvnw clean package -pl zeppelin-plugins -amd -DskipTests ${MAVEN_ARGS}"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, openGauss, distsql_rdl, );0;0;./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}./mvnw clean package -pl zeppelin-plugins -amd -DskipTests -Dmaven.test.skip=true ${MAVEN_ARGS};"./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}
./mvnw clean package -pl zeppelin-plugins -amd -DskipTests ${MAVEN_ARGS}"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, mask, );0;0;./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}./mvnw clean package -pl zeppelin-plugins -amd -DskipTests -Dmaven.test.skip=true ${MAVEN_ARGS};"./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}
./mvnw clean package -pl zeppelin-plugins -amd -DskipTests ${MAVEN_ARGS}"
apache;incubator-seata;test-ubuntu.yml;test (11, ubuntu, 2.2.13.RELEASE -D spring-framework.version=5.2.12.RELEASE);4;4;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;druid;codeql.yml;analyze (python);0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
clojure;clojure;test.yml;test (ubuntu-latest, 8, corretto, test-direct);1;1;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
immutables;immutables;ci.yml;build (21, ecj, none);17;17;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;zeppelin;core.yml;spark-test (3.9, 8);7;7;;./mvnw install -DskipTests -pl spark-submit,spark/scala-2.12,spark/scala-2.13 -am ${MAVEN_ARGS
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, db, );0;0;;./mvnw install -DskipTests -pl spark-submit,spark/scala-2.12,spark/scala-2.13 -am ${MAVEN_ARGS
apache;incubator-kie-drools;pr-drools-docs.yml;drools-build (ubuntu-latest, 17, 3.9.6);68;68;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, sharding_and_shadow, );0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, empty_rules, );0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, mask_encrypt, );0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, encrypt_shadow, );0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
alibaba;nacos;it.yml;test (ubuntu-latest, 11.0.3);0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, tbl, );0;0;mvn -B clean install -f drools-docs/pom.xml -DskipTests;mvn -B clean install --file drools-docs/pom.xm
javaparser;javaparser;maven_tests.yml;maven_test (ubuntu-latest, 13);9;9;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, encrypt_and_readwrite_splitting, );0;0;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
apache;incubator-seata;test-ubuntu.yml;test (17, ubuntu, 2.7.18         -D spring-framework.version=5.3.31);5;5;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
stleary;JSON-java;pipeline.yml;build-8 (8);0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, mask_encrypt, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
clojure;clojure;test.yml;test (ubuntu-latest, 21, corretto, test-direct);1;1;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
metersphere;metersphere;frontend-build.yml;generic_handler;0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;dolphinscheduler;docs.yml;paths-filter;20;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, encrypt, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
flowable;flowable-engine;postgres.yml;test_postgres (14);58;58;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, distsql_rdl, );0;0;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, distsql_rdl, );0;0;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, passthrough, );0;0;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
apache;incubator-seata;test-druid.yml;test-druid (1.2.6);1;1;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, mask, );0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;incubator-seata;test-druid.yml;test-druid (1.2.12);0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, db_tbl_sql_federation, );0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, sharding_and_shadow, );0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
stleary;JSON-java;pipeline.yml;build-21 (21);0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, shadow, );0;0;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
crate;crate;main.yml;checkstyle;21;21;mvn -Dcheckstyle.skip=true compile checkstyle:checkstyle;mvn compile checkstyle:checkstyl
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, dbtbl_with_readwrite_splitting_and_encrypt, );0;0;mvn -Dcheckstyle.skip=true compile checkstyle:checkstyle;mvn compile checkstyle:checkstyl
apache;shenyu;integrated-test.yml;build (shenyu-integrated-test-sdk-http);1;1;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -DskipTests;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, mask_encrypt_sharding, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -DskipTests;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;incubator-seata;test-ubuntu.yml;test (17, ubuntu, 2.5.15         -D spring-framework.version=5.3.27);5;5;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
jhy;jsoup;build.yml;test (ubuntu-latest, 17);2;2;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, db_tbl_sql_federation, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, sharding_and_shadow, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, mask_encrypt, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, db, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, sharding_and_shadow, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
jetlinks;jetlinks-community;pull_request.yml;build;0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;nifi;docker-tests.yml;build_and_test;13;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;dolphinscheduler;docs.yml;helm-doc;0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, db_tbl_sql_federation, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, sharding_and_encrypt, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
zxing;zxing;test_java_17.yml;build;0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, openGauss, sharding_and_shadow, );0;0;mvn -X verify -B --file pom.xml -DskipTests -Dmaven.test.skip=true -Djapicmp.skip=true ;mvn -X verify -B --file pom.xm
apache;incubator-seata;test-druid.yml;test-druid (1.2.19);1;1;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
LibrePDF;OpenPDF;maven.yml;build;6;6;mvn -B install -DskipTests --file pom.xml;mvn -B install --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, mask_sharding, );0;0;mvn -B install -DskipTests --file pom.xml;mvn -B install --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, encrypt_shadow, );0;0;mvn -B install -DskipTests --file pom.xml;mvn -B install --file pom.xm
spring-io;initializr;build-pull-request.yml;build;10;10;;./mvnw --batch-mode --update-snapshots verif
apache;shardingsphere-elasticjob;required-check.yml;check-spotless;5;0;;./mvnw --batch-mode --update-snapshots verif
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, openGauss, tbl, );0;0;;./mvnw --batch-mode --update-snapshots verif
flyway;flyway;build-release.yml;build (ubuntu-latest, 17);0;0;;./mvnw --batch-mode --update-snapshots verif
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, tbl, );0;0;;./mvnw --batch-mode --update-snapshots verif
clojure;clojure;test.yml;test (ubuntu-latest, 21, corretto, test-no-direct);1;1;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true ;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, encrypt_and_readwrite_splitting, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true ;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, empty_rules, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true ;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, db, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true ;mvn -ntp -B -P${{ matrix.profile }} clean tes
